Date,Close,High,Low,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Current_Price,Market_Cap,Circulating_Supply,Total_Supply,Previous_Close,Day_Range,52_Week_High,52_Week_Low,YTD_Performance,Change %,10 yr %,Day %
22/4/2015,5035.169922,5040.649902,4992.620117,1696380000,4947.776489,4968.325707,71.22933546,25.35334287,19.72667958,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.42%,107%,1%
23/4/2015,5056.060059,5073.089844,5019.290039,1858620000,4956.753491,4976.681359,72.30549874,29.23810695,21.62896506,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.41%,107%,1%
24/4/2015,5092.080078,5100.370117,5081.209961,1895150000,4968.189502,4987.671714,72.71148948,34.82191961,24.26755597,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.71%,108%,0%
27/4/2015,5060.25,5119.830078,5053.540039,2172470000,4976.640991,4994.583931,68.31835825,36.26071908,26.66618859,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.63%,107%,1%
28/4/2015,5055.419922,5075.299805,5006.279785,2032500000,4982.03999,5000.377835,63.99443936,36.58945067,28.65084101,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.10%,107%,1%
29/4/2015,5023.640137,5053.839844,4999.830078,1871300000,4988.178003,5002.593293,56.42813656,33.89489056,29.69965092,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.63%,106%,1%
30/4/2015,4941.419922,5015.959961,4921.549805,2269290000,4991.2375,4996.767257,43.83585826,24.83862388,28.72744551,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.64%,105%,2%
1/5/2015,5005.390137,5005.390137,4962.740234,1854400000,4997.16001,4997.588484,51.71813619,22.56323408,27.49460322,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.29%,106%,1%
4/5/2015,5016.930176,5043.620117,5013.02002,1668200000,5002.140527,4999.43055,53.9689322,21.44396332,26.28447524,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.23%,106%,1%
5/5/2015,4939.330078,5008.27002,4934.339844,2069490000,5003.595532,4993.706695,43.40176006,14.13234495,23.85404918,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-1.55%,104%,1%
6/5/2015,4919.640137,4965.100098,4888.169922,2144620000,5002.036548,4986.652737,42.1254014,6.672109079,20.41766116,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.40%,104%,2%
7/5/2015,4945.540039,4957.120117,4914.529785,2042960000,5000.585547,4982.737242,51.34705281,2.817248581,16.89757865,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.53%,105%,1%
8/5/2015,5003.549805,5014.330078,4989.259766,1978760000,5000.964038,4984.719391,50.88637271,4.392512987,14.39656551,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.17%,106%,1%
11/5/2015,4993.569824,5017.379883,4992.02002,1731390000,5001.230029,4985.562289,47.92761692,4.780513575,12.47335513,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.20%,106%,1%
12/5/2015,4976.189941,4995.5,4931.600098,1705870000,5001.175024,4984.669685,44.00171222,3.643594454,10.70740299,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.35%,105%,1%
13/5/2015,4981.689941,5012.970215,4977.490234,1672260000,4999.708521,4984.3859,42.19211368,3.15006985,9.195936363,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.11%,105%,1%
14/5/2015,5050.799805,5051.720215,4999.649902,1741970000,5001.859009,4990.711034,45.94766893,8.240544569,9.004858005,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,1.39%,107%,1%
15/5/2015,5048.290039,5062.649902,5034.839844,1667260000,5007.683008,4996.194748,48.75422143,11.93468967,9.590824338,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,-0.05%,107%,1%
18/5/2015,5078.439941,5084.5,5037.540039,1643870000,5011.875,5004.027624,52.27767927,17.09807546,11.09227456,19523.40039,N/A,N/A,N/A,,"Ticker
^IXIC    4209.759766
dtype: float64 - Ticker
^IXIC    20204.580078
dtype: float64",,,,0.60%,107%,1%
